msg_type,processing_time_ns,buff_read_ns
snapshot,566370,2260799
match,96209,6560
l2update,22660,4582
match,29974,9105
l2update,18952,3258
match,28736,3608
l2update,18799,2876
match,28551,3410
l2update,19441,2986
match,28665,3365
l2update,19486,2863
match,29236,7394
l2update,18624,3185
match,28590,3470
l2update,18246,2963
match,28450,3465
l2update,18799,2838
match,28120,3395
l2update,19079,2951
match,29171,7265
l2update,18675,3067
match,28694,3367
l2update,18740,2823
match,28119,3376
l2update,18835,2963
match,36630,3382
l2update,51545,10480
match,38766,5348
l2update,19562,3903
match,35545,3405
l2update,31822,5266
match,30949,6345
l2update,18760,3052
match,28020,3479
l2update,20046,8412
match,36721,3604
l2update,29306,5292
match,35515,5954
l2update,19873,3705
match,28675,3342
l2update,18762,2998
match,28532,8694
l2update,18572,3070
match,27500,3414
l2update,18478,2816
match,28318,3463
l2update,18565,2898
match,51210,3366
l2update,14134,13519
match,23372,5620
l2update,39081,4229
match,42676,6364
l2update,11760,2435
match,16126,2082
l2update,10817,1694
match,19336,1983
l2update,18515,3082
match,20180,23953
l2update,11551,2270
match,16210,2103
l2update,10690,1665
match,18872,1987
l2update,17478,2902
match,21615,3413
l2update,11715,2196
match,27369,8050
l2update,11927,2395
match,16427,1985
l2update,10584,1709
match,15748,1992
l2update,16558,1704
match,24412,3568
l2update,11880,5555
match,15833,2041
l2update,10610,1735
match,19867,1938
l2update,17699,2965
match,18450,3760
l2update,10658,1725
match,18227,5056
l2update,17196,2948
match,20803,3167
l2update,11042,2085
match,16376,1997
l2update,10962,1684
match,16211,2024
l2update,10342,1605
match,16800,5038
l2update,10917,1758
match,16234,2048
l2update,11109,1639
match,16098,1904
l2update,10539,1590
match,16279,1962
l2update,10659,1608
match,17210,4244
l2update,10975,1666
match,16921,1915
l2update,10430,1563
match,16155,1928
l2update,10507,1592
match,16107,1960
l2update,10363,1614
match,16598,4192
l2update,10995,1735
match,16179,1966
l2update,10516,1616
match,15624,1949
l2update,10548,1610
match,16302,1957
l2update,11190,3956
match,16770,2039
l2update,10480,1630
match,16162,1993
l2update,10451,1596
match,16224,1981
l2update,10461,1602
match,15981,1977
l2update,10768,3317
match,15718,1967
l2update,10708,1687
match,16377,1973
l2update,10460,1551
match,16010,2018
l2update,10442,1545
match,16624,4358
l2update,10559,1724
match,16012,1993
l2update,10671,1628
match,17015,2163
l2update,10539,1649
match,15629,1982
l2update,10920,1688
match,16005,4338
l2update,10625,1693
match,16094,2011
l2update,10334,1652
match,15584,1946
l2update,10830,1600
match,15918,1943
l2update,10686,1595
match,16784,4177
l2update,11088,1723
match,16188,1948
l2update,10450,1585
match,15840,1958
l2update,10717,1632
match,16144,1912
l2update,11474,3945
match,16316,2017
l2update,10265,1615
match,16083,1931
l2update,10367,1619
match,16278,1989
l2update,10409,1645
match,16039,1952
l2update,11280,3941
match,15589,1999
l2update,10486,1642
match,26180,2831
l2update,17271,3123
match,24468,3268
l2update,16990,2686
match,25255,6846
l2update,16826,2825
match,46889,3239
l2update,11367,2350
match,16694,2012
l2update,10415,1608
match,15609,1953
l2update,10933,1686
match,16660,5161
l2update,11085,1740
match,26011,1996
l2update,11651,2178
match,16202,1918
l2update,10523,1705
match,15978,1954
l2update,11125,1688
match,16626,4714
l2update,10872,1689
match,16070,1954
l2update,10742,1683
match,15798,1925
l2update,10845,1746
match,16099,1872
l2update,13491,3962
match,25005,3198
l2update,14122,2988
match,22547,2325
l2update,15380,2683
match,21311,2254
l2update,14876,1980
match,21577,2327
l2update,16674,6852
match,16849,2530
l2update,10594,1684
match,22669,1937
l2update,19199,4856
match,29294,4731
l2update,18596,3300
match,47116,7839
l2update,15422,3035
match,16304,2361
l2update,10688,1692
match,16487,1935
l2update,10574,1633
match,16345,1971
l2update,10927,1644
match,16423,5019
l2update,10560,1729
match,15765,1922
l2update,11069,1688
match,15817,1877
l2update,10898,1646
match,15708,1887
l2update,10591,1647
match,16549,4482
l2update,10918,1692
match,15631,1912
l2update,10796,1664
match,16209,1930
l2update,10454,1615
match,16217,1943
l2update,10536,1642
match,16531,4176
l2update,10773,1716
match,16113,1872
l2update,10517,1620
match,16114,1967
l2update,10550,1595
match,15948,1905
l2update,11298,3949
match,16111,1978
l2update,10795,1657
match,16046,1956
l2update,10392,1591
match,16239,1897
l2update,10807,1602
match,16630,4277
l2update,10945,1684
match,15705,1963
l2update,10853,1698
match,15649,1955
l2update,10652,1639
match,17072,1924
l2update,10778,1565
match,16534,4218
l2update,10637,1716
match,16142,1948
l2update,10419,1587
match,15997,1948
l2update,10940,1658
match,16024,1854
l2update,10993,1563
match,16239,4068
l2update,10677,1662
match,26926,3945
l2update,16950,2913
match,24572,3186
l2update,16795,2734
match,46059,3139
l2update,12256,2797
match,16783,5118
l2update,10817,1657
match,16260,1908
l2update,10826,1682
match,16359,1928
l2update,10576,1606
match,16401,1845
l2update,11291,4023
match,22912,1983
l2update,16862,2704
match,24666,3532
l2update,18220,3165
match,24698,3157
l2update,17861,3429
match,21539,3844
l2update,18824,7564
match,25404,3677
l2update,18305,3660
match,25899,3692
l2update,17012,3291
match,24996,3509
l2update,17723,3015
match,39125,17759
l2update,26988,5431
match,33232,5810
l2update,17378,3286
match,25112,2971
l2update,15720,2484
match,24754,2937
l2update,16319,2511
match,24870,7943
l2update,16692,2596
match,24036,2820
l2update,16341,2475
match,23865,2908
l2update,15344,2440
match,24105,2867
l2update,15524,2387
match,24504,6303
l2update,16295,2726
match,24168,2946
l2update,16220,2447
match,23923,2899
l2update,16160,2462
match,24121,2914
l2update,16890,6012
match,24262,2892
l2update,15700,2427
match,24006,2888
l2update,15365,2391
match,24042,2948
l2update,15707,2445
match,24669,2873
l2update,16752,5925
match,23434,2989
l2update,15492,2403
match,24040,2883
l2update,15623,2413
match,23801,2872
l2update,15771,2319
match,28323,35310
l2update,16946,3277
match,24234,3090
l2update,18872,15688
match,24613,3303
l2update,15675,2464
match,23740,2995
l2update,16444,2465
match,23782,2918
l2update,16167,2527
match,24750,6869
l2update,15873,2555
match,23269,2849
l2update,16233,2471
match,24348,2785
l2update,15725,2428
match,24174,2883
l2update,15502,2454
match,24780,6330
l2update,16520,2520
match,24021,2818
l2update,15593,2450
match,23696,2817
l2update,16263,2428
match,24136,2769
l2update,15604,2408
match,24192,6278
l2update,15705,2596
match,39554,2950
l2update,16410,3305
match,23668,3071
l2update,16103,2492
match,24028,2876
l2update,16948,6614
match,23846,2897
l2update,16355,2447
match,24250,2950
l2update,15987,2430
match,24478,2762
l2update,16303,2462
match,23772,2802
l2update,16982,5961
match,23798,2908
l2update,15496,2457
match,24037,2772
l2update,15655,2521
match,23251,2799
l2update,16033,2453
match,24192,6351
l2update,15754,2589
match,23215,2882
l2update,15526,2479
match,23802,2904
l2update,15986,2531
match,23974,2821
l2update,16109,2498
match,24526,6060
l2update,15828,2613
match,23093,2756
l2update,16075,2467
match,23045,2850
l2update,16125,2502
match,23869,2892
