msg_type,processing_time_ns,buff_read_ns
snapshot,475529,1916059
match,36710,5045
l2update,20892,3468
match,28677,8539
l2update,18747,3020
match,30417,4111
l2update,20061,4035
match,28968,4512
l2update,21096,3420
match,29450,3698
l2update,19500,3410
match,27307,9283
l2update,19832,3913
match,28758,4383
l2update,21421,3834
match,31149,4480
l2update,23535,4231
match,30167,4497
l2update,21443,3760
match,31374,9919
l2update,20687,3807
match,28672,3905
l2update,16427,3907
match,19260,2639
l2update,12987,2015
match,19096,2281
l2update,13106,5827
match,18915,2344
l2update,13089,1957
match,19052,2256
l2update,12398,1973
match,18843,2365
l2update,12367,1948
match,18732,2353
l2update,14725,21498
match,19202,2755
l2update,12597,1903
match,19435,2261
l2update,13122,2057
match,18665,2279
l2update,13056,2062
match,19246,5341
l2update,12989,1974
match,18992,2332
l2update,12405,2024
match,18887,2338
l2update,12401,1917
match,18306,2263
l2update,12608,1979
match,19072,4981
l2update,12359,2005
match,20408,2306
l2update,17500,3448
match,19063,2773
l2update,12885,1913
match,18479,2292
l2update,12847,2022
match,19347,5426
l2update,12354,1973
match,18747,2323
l2update,12396,1921
match,18917,2322
l2update,12902,1924
match,18423,2261
l2update,12407,1930
match,22924,5042
l2update,13232,2169
match,18899,2333
l2update,12408,1978
match,18771,2278
l2update,12800,1958
match,18949,2277
l2update,13453,4741
match,18951,2230
l2update,12430,1995
match,26852,2318
l2update,20690,3622
match,34473,4137
l2update,22354,5006
match,31940,9531
l2update,22838,3556
match,21596,4312
l2update,13369,2431
match,18905,2249
l2update,13036,2019
match,18259,2406
l2update,12658,2061
match,19289,5923
l2update,12906,2050
match,18781,2383
l2update,12370,1998
match,18280,2341
l2update,12541,1964
match,18998,2255
l2update,12575,1890
match,19297,5122
l2update,12769,2048
match,18301,2308
l2update,12268,1986
match,18913,2328
l2update,22156,1975
match,32262,3980
l2update,14158,2598
match,21354,6158
l2update,13754,2244
match,20954,2626
l2update,13602,2156
match,21111,2612
l2update,13569,2184
match,20309,2504
l2update,14483,5239
match,21112,2621
l2update,13725,2219
match,20920,2611
l2update,13691,2186
match,20814,2596
l2update,13711,2133
match,20806,2549
l2update,14063,4476
match,20165,2649
l2update,14051,2243
match,20685,2514
l2update,13843,2146
match,21589,2592
l2update,13501,2073
match,21350,5460
l2update,13656,2250
match,20979,2580
l2update,13637,2155
match,22111,2903
l2update,13978,2230
match,20962,2546
l2update,14099,2174
match,21203,5667
l2update,13693,2156
match,20249,2639
l2update,13521,2126
match,20186,2499
l2update,14157,2170
match,20439,2534
l2update,13627,2213
match,21139,5449
l2update,13531,2242
match,20757,2571
l2update,13626,2200
match,20866,2522
l2update,13560,2073
match,20684,2589
l2update,14637,5276
match,21005,2616
l2update,14449,2209
match,20113,2572
l2update,14121,2183
match,20279,2530
l2update,14133,2228
match,20548,2584
l2update,13961,5067
match,21135,2631
l2update,13883,2204
match,20244,2534
l2update,13852,2235
match,20657,2571
l2update,14221,2187
match,20811,5418
l2update,13792,2197
match,20254,2635
l2update,14480,2222
match,20229,2500
l2update,14414,2264
match,20653,2475
l2update,13580,2151
match,20991,5554
l2update,13833,2208
match,20762,2643
l2update,14298,2204
match,20296,2604
l2update,14290,2224
match,20116,2586
l2update,13690,2202
match,21041,5427
l2update,13814,2220
match,20895,2498
l2update,13462,2160
match,21080,2570
l2update,13862,2201
match,19937,2615
l2update,14199,5003
match,20259,2529
l2update,14400,2182
match,20116,2605
l2update,13607,2165
match,20512,2584
l2update,13709,2194
match,20667,2521
l2update,14620,5172
match,20813,2666
l2update,13801,2214
match,20699,2583
l2update,13707,2172
match,20788,2539
l2update,13650,2232
match,21017,5367
l2update,13705,2258
match,20764,2548
l2update,14416,2220
match,20928,2477
l2update,13720,2171
match,20699,2547
l2update,13708,2199
match,21444,5371
l2update,14696,2246
match,20788,2454
l2update,14630,2196
match,20847,2464
l2update,13606,2062
match,20902,2603
l2update,13558,2099
match,21210,5311
l2update,13730,2240
match,20848,2602
l2update,13610,2166
match,20154,2561
l2update,13632,2161
match,20865,2531
l2update,13672,2136
match,20978,5314
l2update,13838,2187
match,20493,2596
l2update,13773,2191
match,21072,2520
l2update,13509,2163
match,20305,2524
l2update,14484,5120
match,20428,2624
l2update,13902,2264
match,20119,2501
l2update,14190,2185
match,20736,2541
l2update,13543,2206
match,21315,5374
l2update,14398,2198
match,20687,2454
l2update,14426,2125
match,20764,2495
l2update,13866,2129
match,21532,2467
l2update,13461,2133
match,21413,5343
l2update,14566,2244
match,20913,2434
l2update,14062,2175
match,20805,2505
l2update,14247,2184
match,20838,2544
l2update,13471,2159
match,21061,5372
l2update,13592,2146
match,21495,2837
l2update,13777,2264
match,20350,2568
l2update,14491,2237
match,20872,2450
l2update,14156,2207
match,21681,5627
l2update,13899,2209
match,20828,2592
l2update,13846,2209
match,20679,2479
l2update,13417,2140
match,20067,2487
l2update,14707,5113
match,20898,2525
l2update,13696,2197
match,20780,2569
l2update,13585,2209
match,20722,2564
l2update,13693,2157
match,20108,2428
l2update,14806,5067
match,20784,2530
l2update,14491,2250
match,20759,2556
l2update,13795,2204
match,30466,2549
l2update,14043,2817
match,21233,6142
l2update,13623,2227
match,20345,2520
l2update,13705,2167
match,20808,2504
l2update,13807,2108
match,20756,2543
l2update,13592,2108
match,21611,5466
l2update,13763,2298
match,20403,2440
l2update,13552,2190
match,20881,2586
l2update,13721,2178
match,20255,2516
l2update,13702,2148
match,21452,5436
l2update,14836,2498
match,20230,2530
l2update,14184,2237
match,20157,2483
l2update,13972,2220
match,20732,2596
l2update,14389,5268
match,20472,2547
l2update,13808,2194
match,19983,2534
l2update,13764,2211
match,20709,2573
l2update,13712,2084
match,20778,2524
l2update,16864,30761
match,21268,3156
l2update,13890,2139
match,22662,13469
l2update,14015,2319
match,20845,2588
l2update,13573,2167
match,20165,2550
l2update,13678,2203
match,20695,2580
l2update,14482,5276
match,20911,2620
l2update,14507,2202
match,20699,2422
l2update,13727,2110
match,20230,2533
l2update,13671,2167
match,21190,5589
l2update,13692,2214
match,20389,2566
l2update,14152,2217
match,20766,2586
l2update,13702,2129
match,20359,2645
l2update,13683,2150
match,21011,5315
l2update,14363,2255
match,20419,2522
l2update,13533,2144
match,20952,2539
l2update,13770,2175
match,21647,2566
l2update,13733,2102
match,20797,5352
l2update,14426,2254
match,20896,2460
l2update,13548,2041
match,20585,2567
l2update,14012,2140
match,20286,2429
l2update,14356,2171
match,21128,5293
l2update,13798,2111
match,20103,2550
l2update,14003,2205
match,20136,2543
l2update,13633,2224
match,20991,2546
l2update,14377,4865
match,20319,2457
l2update,14275,2159
match,20080,2504
l2update,14439,2162
match,20259,2468
l2update,13550,2176
match,22002,5568
