msg_type,processing_time_ns,buff_read_ns
snapshot,14276897,324636575
last_match,5545,2696
l2update,6251,796
l2update,2971,473
l2update,3457,3244
l2update,3194,451
l2update,2739,350
l2update,2664,340
l2update,2687,338
l2update,2669,360
l2update,2668,340
l2update,2488,351
l2update,2642,352
l2update,2596,323
l2update,2466,343
l2update,2522,339
l2update,2460,333
l2update,3127,1388
l2update,2688,391
l2update,2582,320
l2update,2554,328
l2update,2567,312
l2update,2466,323
l2update,2641,320
l2update,2552,319
l2update,2480,310
l2update,2587,344
l2update,2537,321
l2update,2559,331
l2update,3113,1234
l2update,2743,352
l2update,2720,325
l2update,2676,324
l2update,2731,339
l2update,2633,342
l2update,2558,332
l2update,2670,322
l2update,2476,325
l2update,2589,304
l2update,2512,321
l2update,2565,292
l2update,3094,1429
l2update,2649,357
l2update,2558,358
l2update,2570,315
l2update,2589,322
l2update,2507,332
l2update,2572,319
l2update,2599,335
l2update,2519,412
l2update,3598,5219
l2update,3349,2909
l2update,3265,2639
l2update,3308,3738
l2update,2896,430
l2update,2619,369
l2update,2625,402
l2update,4859,24958
l2update,3475,2988
l2update,4763,7616418
l2update,1969,374
l2update,14781,9438479
l2update,15770,1279337
l2update,15760,2451580
l2update,15874,16639040
l2update,15640,5327386
l2update,15698,1958707
l2update,15477,3162090
l2update,15611,7464653
l2update,5723,5685
l2update,19071,4119312
l2update,15520,6265987
l2update,15414,1356363
l2update,15389,10690879
l2update,15763,10793062
l2update,15475,38413750
l2update,15712,63968805
l2update,15302,8523448
l2update,15453,3296994
l2update,5379,1195
l2update,5492,5510
l2update,15563,3428856
l2update,15575,2072096
l2update,15510,1055060
l2update,15662,6701381
l2update,6302,5629
l2update,90068,2536546
l2update,6702,51306
l2update,15505,7333676
l2update,16356,3650391
l2update,6116,1305
l2update,4891,993
l2update,15488,4757910
l2update,15525,18979095
l2update,5383,1122
l2update,15562,17253909
l2update,5435,1120
l2update,15505,1160975
l2update,15681,4458456
l2update,15510,26769912
l2update,15555,11664560
