processing,buffer_read
20205,78807336
4583156,349116623
3658,8086
1493,499
4272,1025
1384,368
1189,296
1180,303
1192,299
1890,293
1373,301
1190,295
1444,2297
1193,391
1197,299
1193,295
1245,303
1203,293
1185,295
1215,298
1215,291
2367,46162
1285,837
1221,303
1202,293
1173,297
1183,293
1213,306
1187,299
1258,293
1193,295
1291,303
1255,303
1749,1568
1225,344
1230,306
1303,303
1220,388
1498,4212
5588,4830949
5693,14014242
4288,4100281
2331,1109
4757,6312985
67068,6641597
4950,21144319
5555,9923895
5368,4700169
5593,7181313
1599,842
8626,23897288
5583,7617901
5482,4277696
5587,9581462
5688,11058044
5530,6755668
16384,57275677
6532,20330325
5527,4645893
5515,6278582
5618,14836016
5562,29589876
1641,840
5582,5478030
6461,13711981
6263,12958088
7025,7823621
7508,7486334
6697,19204745
5728,31529665
5548,12751533
5557,16029072
5893,15010873
6304,9647425
5658,1086680
5423,18262412
5552,8468962
5505,23750780
5565,1570294
5495,10365236
5542,13871025
5495,1047478
5501,14100418
5446,31601748
5490,12838755
5522,45143332
7064,5870019
4609,3946965
13755,14250405
2738,2346208
2859,953
4324,8638838
4935,5121113
5152,16051821
5913,118027026
5588,23901708
5598,15676816
3847,4064571
14316,19615359
12168,4623815
6282,4874
4211,6445399
4263,29712730
5526,2175638
5346,9806205
5558,16039269
5497,2141116
5513,37456939
1712,811
5435,9659951
5570,25898429
5412,19823049
5713,11969428
5595,24401370
5497,1088510
6748,129703016
5499,3178079
6666,9642248
4417,1009908
7327,5429709
5402,3611738
2886,1055136
6309,13279294
6384,10445868
5240,17141571
5710,34173802
6655,43749032
3045,4730373
6457,16289157
19235,2264460
6022,7280223
1790,3104216
7875,74363697
7213,8535012
6359,2151978
5770,25649454
5478,13317201
1652,882
5455,9260782
5459,1359773
5342,23179596
3929,1341
5377,2507172
3543,1283
5560,2065922
5485,1089338
6713,14356375
2739,1465
1896,652
2103,656
5503,4389581
1536,887
5492,11563961
1493,726
1393,438
5548,5646103
5429,975167
5379,3141061
5417,14870088
5402,4529313
5475,5379383
5488,12828862
7143,34304663
6280,27029373
5502,49305185
5378,5994341
5423,9791456
5535,4675494
1566,871
5408,6129642
5550,12249033
5369,4636635
5467,12472149
1538,958
5517,29863789
1581,871
78412,4241989
2728,1707
5541,3134696
5442,15987263
5520,12814574
5437,3172715
5507,3114755
5417,13204710
5439,21199766
5469,4214670
19638,5503379
6890,5543
3176,13589117
1055,2274
869,1787
4000,11120850
6061,76412120
5492,6793916
5500,16003459
1572,874
5439,38221207
5415,45613673
5354,8619961
5490,43555175
5463,22252935
5576,18989389
5360,27820086
5765,22247250
5367,3214334
6272,26797269
5483,16944560
5460,15986070
5419,16130487
5568,25734873
1516,747
1270,461
6590,80491796
5519,46468748
1568,757
1263,288
1278,474
5563,10653115
5530,5729414
5368,30762120
5389,7538090
6264,6730504
1609,754
1333,496
6935,8598775
5003,9478906
5119,9912534
5298,14287691
1656,744
1303,468
5450,11742515
1539,867
1298,446
5420,1065510
5106,1217024
5420,3146832
5492,12316677
5475,11646687
5492,14954100
5490,4522725
1558,842
5304,16929134
3848,1193
1509,415
1391,473
5435,13746675
1749,825
5438,8445685
5427,26371373
5242,34518754
1479,892
5437,4141593
5374,2279327
1468,905
5453,3139720
1586,854
5392,3684636
5522,1060750
5470,11750968
1737,874
5487,15828591
1686,870
5741,7555910
5452,14903343
1554,779
1413,437
5312,6754341
5482,8847532
1618,860
3736,14848251
1506,662
5131,13964115
5445,6759191
5447,23214526
5467,11720661
5438,2603656
5423,1104575
5475,2385781
5730,22940184
5562,12167074
5579,6318690
5390,1079722
1616,878
5369,7456315
5455,2029312
6770,20155880
1656,884
1348,413
5645,77908771
5377,11541824
5550,7491597
5434,135239650
5582,1292491
5452,23316762
5427,2246567
5500,9678992
5435,1075465
5442,10233396
5440,7111384
5488,1248311
5372,3413963
5450,6279738
5430,4189079
5455,20018669
5512,79096734
3884,1200
1499,451
2546,559
5475,3068939
3590,1261
1677,423
1280,396
5359,4147326
1598,850
3566,904
5430,2100880
5488,4456168
6166,3173838
1624,792
6013,3153727
2762,4187268
6048,18165707
5547,66751937
4621,117070634
4753,37457949
4471,3125212
6201,8465711
7795,88496403
5508,10491614
5157,15794398
1491,887
3636,3161687
7441,23554986
5414,12696660
5843,5741210
5545,16142319
5425,1218577
5480,1308532
5427,4681781
5470,3025711
5512,2131905
1526,897
5395,5486001
5505,2112787
5404,3168112
5465,6764292
1609,904
5463,6363680
5422,21293636
5472,49719718
5467,15012078
5470,5665559
5528,68852935
5447,13866179
5309,4287173
5446,7429362
5447,22472326
5444,98659972
6808,182925534
5454,8957703
5494,9710223
5382,51015156
5557,1493885
2738,1188
5463,5297794
5430,19994843
5505,16874702
1864,4530
5513,5310481
5558,34222649
5449,9174441
5397,13476192
5578,18393237
1744,889
5379,949257
5547,21223203
1629,952
5464,26629802
1558,918
7406,27944070
5478,12109180
5485,15081010
6278,27022871
8010,200530128
5355,6176804
5372,9446288
6881,13942856
5465,2023579
5608,11971033
7739,14349534
1433,1106
7773,20180855
1389,1014
1136,265
1073,439
5600,4184212
1521,833
5051,12781157
5470,26558407
6573,156168703
5408,14245402
5442,12519752
5727,83070232
4397,1466
2030,5159
1395,481
1662,3806
5450,16042724
5399,16012873
5430,6371195
5424,30962124
6221,26726109
5472,35954409
5545,6426515
1822,4540
5435,7412640
6126,159936350
5488,20263946
5586,13130037
5470,25003365
7322,87852400
5585,78738290
1915,4532
5320,2119585
5447,5812070
5500,53860834
5465,3676163
5565,4792699
5387,3697408
13888,4288433
13856,1098474
2929,9501963
3814,4278960
1841,1160
4378,4275821
4385,4676397
4347,4183643
4414,5339387
1283,723
5618,7844266
5354,4130442
5364,32799091
5412,7972525
5466,10889309
5438,8613716
5460,58290551
1544,899
5327,4658909
5383,2145115
5448,46689065
1629,872
5422,22118796
5420,38874499
1561,894
5695,3228724
