processing,buffer_read
205,72669478
159,312233844
36,4273
35,494
37,266
35,235
35,234
38,228
37,227
36,233
37,237
34,237
37,1600
36,265
35,238
34,230
36,224
37,232
172,1036631
36,1348
36,301
37,242
37,249
38,231
36,235
35,241
36,235
35,230
37,224
35,231
37,1487
36,288
35,236
35,265
35,234
36,229
33,241
33,234
36,237
35,227
35,225
36,229
37,842
35,259
35,224
33,229
33,227
35,226
35,237
35,227
35,227
33,233
36,222
36,234
37,230
36,1499
35,240
35,237
36,226
36,229
34,227
37,227
34,228
34,233
37,229
34,337
102,5725102
19,325
19,123
19,122
19,122
19,120
19,182
85,6818590
19,386
154,5353845
40,570
51,476
136,5589478
30,585
177,4883568
40,3783
174,6583385
40,3693
40,2800
180,2269203
231,2382819
210,2951494
220,3226254
230,5243003
228,13248183
45,820
208,2145771
201,6414149
198,10875185
45,867
213,5694747
46,704
44,356
46,295
46,410
205,5369373
202,14957985
45,952
203,2321735
46,4299
201,1920717
220,2430432
210,8338851
198,27235699
208,5775196
258,3473632
198,6430618
48,902
218,6422748
211,4330928
203,4343271
228,3268392
45,771
203,2129286
212,1095554
45,929
198,9698449
202,18189460
45,702
45,324
45,458
213,1125834
223,6464863
70,1411
202,4289173
45,869
208,12048041
223,4331973
57,1216
205,4260220
235,1154238
198,4701764
218,7590209
218,3149957
198,6327273
44,878
231,9753739
80,1067
65,611
65,662
202,6388366
45,704
46,1034
218,980394
205,3238555
45,860
198,8490336
198,7722881
45,839
196,4935373
48,892
45,4327
206,3222724
220,7797050
47,852
218,4745068
213,4157611
45,900
221,2110509
211,9724805
48,742
45,484
198,2093306
220,1046939
208,1136510
203,5753525
45,675
45,321
45,494
196,5489879
198,3357530
44,868
227,2021569
44,4230
228,4645333
203,1873361
202,3449636
198,1065180
208,4197222
245,5501441
46,874
205,15877555
221,11675042
45,799
197,7826535
45,809
45,4535
195,3267932
216,5218037
199,1663708
195,4137175
209,4198890
203,2194055
48,854
206,3136701
199,10770253
45,682
45,293
45,296
45,411
198,4242236
216,4286454
45,744
47,504
46,4444
243,7870173
42,4199
218,8034071
44,812
223,7991741
208,13022551
45,842
203,24661842
48,852
198,7830108
45,827
206,7054772
45,877
198,4176403
198,2116949
211,7776951
198,3635082
46,842
203,5241551
218,9639888
62,1136
47,11506
46,476
213,3223239
44,659
44,344
44,301
48,403
195,14092728
45,682
45,336
45,301
42,424
211,6248017
45,667
45,286
45,469
45,4458
206,2029770
45,844
200,1076062
46,4370
203,5481004
45,854
198,919654
198,3201783
45,802
205,3230004
45,4215
202,16505766
46,844
199,1026958
216,2141258
48,4312
159,35264135
38,865
159,3135402
36,520
36,381
184,2669435
56,796
162,3488160
205,14278113
45,704
45,453
215,9652308
45,706
45,446
45,4330
205,3145153
46,4103
205,7432811
203,5322898
195,4325279
221,995237
46,1460
198,2654446
44,1439
211,653768
47,1326
44,5137
45,473
226,1352846
108,2789247
203,9696906
45,717
45,388
45,453
218,5273149
44,925
187,4757837
45,714
45,428
253,4470803
68,1017
73,6883
205,2154844
45,4665
198,10555465
45,644
45,469
218,8571955
215,1124934
45,5520
44,464
210,4302570
212,4161910
46,834
203,2186480
228,13837062
192,14057434
45,767
45,331
45,316
45,388
203,2066924
45,699
45,496
203,1021030
215,4488263
203,8410704
45,877
202,11736762
218,26706408
44,838
203,2167008
46,688
46,456
216,10488623
45,844
203,8144793
46,794
198,1191812
211,4233280
48,887
232,9628242
70,1070
195,24660175
205,18658428
44,717
48,333
45,504
207,6118428
203,2107853
218,5260853
178,5278706
223,7557765
78,1283
233,10914764
93,7952546
44,703
21,3725
19,178
211,11720250
229,3219843
195,8815786
148,5632878
45,1012
156,12017754
45,707
42,346
45,283
45,283
45,416
218,9465991
45,877
253,9911186
45,694
45,379
47,421
160,7661842
203,23148150
206,15061455
45,627
48,498
198,6627750
45,827
198,7545177
203,7505670
47,818
196,5721392
45,800
200,13121289
238,3255093
201,10008166
203,6870395
175,25857987
119,11115727
27,562
28,196
27,171
